nome,contato,rede_social,latitude_longitude,endereco
Açaí do Gaia ,91980127186,https://www.instagram.com/gaiaacaibelem?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,"-1.4560895,-48.4736268,829","Av. Conselheiro Furtado, 3105"
Açaí K ,91989112218,https://www.instagram.com/acaik.belem?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,"-1.4562488,-48.4936125,829","Avenida Serzedelo Correa, 305"
Açaí do Batista,91993439194,https://www.instagram.com/acaidobatista?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,"-1.4603168,-48.4907339,829","Rua Serzedelo Correa, 861"
Ivaneide Wanzeler dos Santos ,não disponível,não disponível,"-1.4153286,-48.4885879,829","Passagem Mirandinha, 157"
Açaí do Guido ,não disponível,https://www.instagram.com/ssbbruna/,"-1.3873547,-48.3663885,829","Rua do Japonês, 3-A"
Bengui Açaí ,91989075043,https://www.instagram.com/sabor_acai091/,"-1.3573481,-48.4387984,3","Rua São Pedro, 204"
Grupo Açaí 2 Irmãos LTDA,não disponível,não disponível,"-1.3750837,-48.4392405","Rua Principal, 62"
Açaí do Ronaldo ,não disponível,não disponível,"-1.383315,-48.4393367,17","Rua Morada dos Ventos, 29"
Açaí Duelvis Nature ,91983616891,https://www.instagram.com/acaiduelvis?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,"-1.3677179,-48.440608,829","Travessa Henrique Dias, 166"
Leidiane dos Santos Meireles da Silva,não disponível,não disponível,"-1.3977383,-48.4790773,829","Avenida Brasil, 100 "
Açaí da Galeria,91985365122,https://www.instagram.com/acaidagaleria_/,"-1.4511314,-48.4994702,829","Av. Presidente Vargas, 560"
Luiz Vanderlei Novaes Ferreira,não disponível,não disponível,"-1.4551474,-48.4989362,829","Rua Carlos Gomes, 93"
Açaí de Ponta ,91991236627,https://www.instagram.com/acai.de.ponta?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,"-1.4520147,-48.4623512,829","Rua Doutor Silva Rosa, 692"
Açaí do Yan ,não disponível,não disponível,"-1.4495831,-48.4557309,829","Rua Roso Danin, 1099"
Cantinho do Açaí ,91987210922,não disponível,"-1.4089233,-48.4311361,829","R. Euclides da Cunha, 126 - a"
Açaí,não disponível,não disponível,"-1.4631636,-48.5042719,829","Passagem Lopo de Castro,47"
Açaí do Honorato,não disponível,não disponível,"-1.4439191,-48.4753154,829","Rua São Boaventura, 11"
